"Wavelength","Transmittance"
1060,97.032465
1060,97.108197
1060,97.122103
1061,97.035268
1061,97.111366
1061,97.104409
1062,97.050602
1062,97.133878
1062,97.092991
1063,97.056972
1063,97.151507
1063,97.066939
1064,97.029315
1064,97.139839
1064,97.006361
1065,96.964929
1065,97.094753
1065,96.923225
1066,96.889251
1066,97.035676
1066,96.855238
1067,96.833297
1067,96.988016
1067,96.826489
1068,96.807146
1068,96.962371
1068,96.827668
1069,96.797024
1069,96.949646
1069,96.835489
1070,96.785694
1070,96.933574
1070,96.834586
1071,96.769843
1071,96.904518
1071,96.816301
1072,96.756451
1072,96.862091
1072,96.7767
1073,96.748624
1073,96.810837
1073,96.728219
1074,96.741222
1074,96.758781
1074,96.698419
1075,96.729393
1075,96.71926
1075,96.703472
1076,96.715955
1076,96.708215
1076,96.730891
1077,96.708026
1077,96.734461
1077,96.757277
1078,96.70842
1078,96.790153
1078,96.772404
1079,96.712776
1079,96.849293
1079,96.775986
1080,96.71555
1080,96.878439
1080,96.765602
1081,96.717878
1081,96.858269
1081,96.745001
1082,96.727338
1082,96.800982
1082,96.733974
1083,96.747842
1083,96.744294
1083,96.749551
1084,96.771166
1084,96.723224
1084,96.779539
1085,96.782858
1085,96.745446
1085,96.792483
1086,96.778143
1086,96.79397
1086,96.776302
1087,96.768624
1087,96.848664
1087,96.753489
1088,96.771264
1088,96.900207
1088,96.755259
1089,96.793668
1089,96.949062
1089,96.791948
1090,96.832693
1090,97.000012
1090,96.85314
1091,96.882984
1091,97.056651
1091,96.92593
1092,96.940176
1092,97.113899
1092,97.003685
1093,96.997215
1093,97.156317
1093,97.080886
1094,97.045218
1094,97.171645
1094,97.147223
1095,97.081651
1095,97.167881
1095,97.190549
1096,97.114239
1096,97.169486
1096,97.206564
1097,97.152288
1097,97.191723
1097,97.203231
1098,97.194351
1098,97.224155
1098,97.191894
